date,revenue,visits
2023-03-25,12675.84,6182
2023-03-26,12970.2,6338
2023-03-27,11091.18,5510
2023-03-28,11308.4,5851
2023-03-29,11203.35,5853
2023-03-30,10851.2,5677
2023-03-31,10868.48,6268
2023-04-01,12900.01,6071
2023-04-02,12859.13,5905
2023-04-03,11538.17,5870
2023-04-04,11434.62,6106
2023-04-05,12381.73,5605
2023-04-06,9749.95,5961
2023-04-07,12057.06,5209
2023-04-08,13001.08,6076
2023-04-09,12613.64,6109
2023-04-10,11732.89,5214
2023-04-11,10195.89,5392
2023-04-12,11924.28,5267
2023-04-13,11445.91,5838
2023-04-14,11749.18,5656
2023-04-15,12859.16,6231
2023-04-16,11870.66,6273
2023-04-17,11426.9,5507
2023-04-18,11222.55,5793
2023-04-19,10291.82,5658
2023-04-20,12079.08,5473
2023-04-21,11143.02,5503
2023-04-22,12537.66,5637
2023-04-23,12766.62,6249
2023-04-24,10459.52,5733
2023-04-25,11888.05,5525
2023-04-26,11173.5,6065
2023-04-27,10899.97,5775
2023-04-28,12217.47,5776
2023-04-29,12881.74,6303
2023-04-30,13678.04,5885
2023-05-01,11428.72,5256
2023-05-02,12017.25,5727
2023-05-03,10899.17,6093
2023-05-04,12591.13,5037
2023-05-05,11045.05,5642
2023-05-06,12938.73,6067
2023-05-07,12439.06,6032
2023-05-08,10666.52,5177
2023-05-09,10883.05,5353
2023-05-10,11586.73,5444
2023-05-11,10960.53,5514
2023-05-12,11298.16,5987
2023-05-13,12119.92,6578
2023-05-14,12773.33,5766
2023-05-15,10873.44,5937
2023-05-16,11099.93,5688
2023-05-17,12183.31,5481
2023-05-18,11014.54,5151
2023-05-19,11351.62,5420
2023-05-20,11782.73,5987
2023-05-21,11759.34,6158
2023-05-22,11542.79,5274
2023-05-23,11227.95,5593
2023-05-24,10890.07,5166
2023-05-25,9502.46,5165
2023-05-26,10332.08,5360
2023-05-27,12715.44,6034
2023-05-28,11305.66,6006
2023-05-29,10473.36,5186
2023-05-30,10758.02,5366
2023-05-31,10685.35,5720
2023-06-01,10475.2,5273
2023-06-02,11784.67,5789
2023-06-03,12362.66,6201
2023-06-04,12031.6,6278
2023-06-05,10019.31,5677
2023-06-06,10603.08,5165
2023-06-07,9932.1,5099
2023-06-08,11378.54,5292
2023-06-09,11289.99,4969
2023-06-10,11826.01,5423
2023-06-11,11784.35,5899
2023-06-12,11603.14,5347
2023-06-13,9654.99,5127
2023-06-14,9860.64,5214
2023-06-15,10880.62,5618
2023-06-16,11264.44,5022
2023-06-17,11971.47,5551
2023-06-18,11338.1,5479
2023-06-19,9954.04,5133
2023-06-20,10425.46,5536
2023-06-21,9788.96,5318
2023-06-22,10298.18,5153
2023-06-23,10002.78,5418
2023-06-24,12035.41,5218
2023-06-25,11276.4,5700
2023-06-26,9982.28,5276
2023-06-27,9707.6,4821
2023-06-28,10890.58,4812
2023-06-29,10530.38,4573
2023-06-30,9825.01,5179
2023-07-01,10305.72,5694
2023-07-02,11413.2,5006
2023-07-03,10575.64,5223
2023-07-04,10124.27,5134
2023-07-05,9160.03,5290
2023-07-06,10065.49,5045
2023-07-07,9887.28,4705
2023-07-08,11152.1,5251
2023-07-09,10950.91,5477
2023-07-10,9087.87,4691
2023-07-11,9770.84,4926
2023-07-12,9933.72,4811
2023-07-13,9322.31,4963
2023-07-14,9921.03,4835
2023-07-15,11221.69,5344
2023-07-16,10449.39,5306
2023-07-17,9581.1,5412
2023-07-18,9594.42,4803
2023-07-19,10060.71,4869
2023-07-20,9237.49,4548
2023-07-21,9003.88,4827
2023-07-22,9596.89,5618
2023-07-23,9887.62,4675
2023-07-24,9054.79,4353
2023-07-25,8697.75,4637
2023-07-26,9482.64,4424
2023-07-27,8245.02,5138
2023-07-28,9915.23,4137
2023-07-29,9483.24,5024
2023-07-30,9759.05,5148
2023-07-31,9568.89,4654
2023-08-01,9681.62,4633
2023-08-02,8964.19,4365
2023-08-03,9809.2,4868
2023-08-04,8713.15,4693
2023-08-05,10083.04,4934
2023-08-06,10101.42,4806
2023-08-07,9303.83,4575
2023-08-08,9119.47,4432
2023-08-09,8457.81,4401
2023-08-10,9681.6,4405
2023-08-11,9514.18,4128
2023-08-12,9984.25,4508
2023-08-13,9634.63,4847
2023-08-14,9510.45,4588
2023-08-15,8687.27,4320
2023-08-16,9290.71,4636
2023-08-17,9252.72,4183
2023-08-18,10258.99,4464
2023-08-19,10340.11,5329
2023-08-20,9127.46,4904
2023-08-21,9105.46,5144
2023-08-22,8655.43,4241
2023-08-23,8371.02,4301
2023-08-24,8708.64,4402
2023-08-25,8762.39,4658
2023-08-26,9808.86,4388
2023-08-27,9806.41,4887
2023-08-28,8878.48,4795
2023-08-29,8640.18,4692
2023-08-30,8775.52,4095
2023-08-31,8798.32,4278
2023-09-01,8258.57,4311
2023-09-02,10006.0,4592
2023-09-03,9539.53,4433
2023-09-04,8788.86,4043
2023-09-05,8871.79,4021
2023-09-06,8319.49,4525
2023-09-07,8725.77,4328
2023-09-08,9123.26,3796
2023-09-09,8659.61,5050
2023-09-10,9227.03,4976
2023-09-11,8956.41,4179
2023-09-12,8702.06,4332
2023-09-13,9116.79,3766
2023-09-14,7974.06,4758
2023-09-15,9027.7,4337
2023-09-16,10008.75,4305
2023-09-17,8740.32,4511
2023-09-18,8081.96,4376
2023-09-19,8917.15,4457
2023-09-20,9329.51,4157
2023-09-21,7977.7,4552
2023-09-22,8800.5,3984
2023-09-23,9430.72,4777
2023-09-24,10047.68,4403
2023-09-25,8808.57,4122
2023-09-26,9097.75,4049
2023-09-27,8269.25,4002
2023-09-28,8537.26,4423
2023-09-29,8657.96,4133
2023-09-30,9566.08,4470
2023-10-01,9613.32,4790
2023-10-02,9092.04,4350
2023-10-03,8637.97,4501
2023-10-04,9088.81,4425
2023-10-05,8755.12,4325
2023-10-06,8925.82,4299
2023-10-07,9285.63,4150
2023-10-08,9211.09,4583
2023-10-09,8199.39,4246
2023-10-10,7960.04,4132
2023-10-11,8286.38,4473
2023-10-12,8160.72,4269
2023-10-13,8682.08,4164
2023-10-14,9240.04,4532
2023-10-15,9038.85,4790
2023-10-16,9306.5,4119
2023-10-17,7649.74,4301
2023-10-18,8157.54,4698
2023-10-19,9467.11,4074
2023-10-20,8395.49,4397
2023-10-21,9399.33,5174
2023-10-22,10518.04,4431
2023-10-23,8826.17,4437
2023-10-24,8686.2,3956
2023-10-25,8698.81,4616
2023-10-26,8291.17,4414
2023-10-27,9011.12,4681
2023-10-28,8895.04,4547
2023-10-29,9813.87,4460
2023-10-30,8264.85,4014
2023-10-31,8634.67,4325
2023-11-01,9109.34,3943
2023-11-02,8773.25,4474
2023-11-03,9185.66,4522
2023-11-04,9898.0,4902
2023-11-05,10225.12,5229
2023-11-06,8237.82,4447
2023-11-07,9107.43,4657
2023-11-08,8744.87,4222
2023-11-09,9571.63,4467
2023-11-10,9542.92,4392
2023-11-11,9877.63,4870
2023-11-12,9217.97,5084
2023-11-13,8563.87,4481
2023-11-14,8788.02,4720
2023-11-15,9566.52,4919
2023-11-16,9587.23,4391
2023-11-17,9449.55,4419
2023-11-18,9202.95,4743
2023-11-19,9211.24,5090
2023-11-20,8038.56,4682
2023-11-21,8881.32,4578
2023-11-22,8663.5,4593
2023-11-23,8230.94,4690
2023-11-24,9148.28,4523
2023-11-25,9909.11,5106
2023-11-26,10625.83,4637
2023-11-27,9556.57,4411
2023-11-28,8616.93,4730
2023-11-29,8949.12,4568
2023-11-30,9537.91,4399
2023-12-01,9606.13,4333
2023-12-02,10251.79,5280
2023-12-03,9163.78,5058
2023-12-04,9295.18,4668
2023-12-05,9091.35,4613
2023-12-06,9966.63,4662
2023-12-07,8755.44,4856
2023-12-08,8518.2,4940
2023-12-09,10203.91,5429
2023-12-10,10005.52,5077
2023-12-11,9372.34,4347
2023-12-12,9560.41,5261
2023-12-13,9930.41,4777
2023-12-14,9355.95,4864
2023-12-15,9496.63,4993
2023-12-16,10161.26,5529
2023-12-17,10306.48,4982
2023-12-18,9942.46,4823
2023-12-19,9350.03,4986
2023-12-20,9231.59,4648
2023-12-21,9981.11,4741
2023-12-22,10688.33,4479
2023-12-23,10977.09,5700
2023-12-24,11145.15,5792
2023-12-25,8582.16,5218
2023-12-26,10649.13,4994
2023-12-27,9590.55,5059
2023-12-28,10822.19,4955
2023-12-29,9918.62,4968
2023-12-30,11482.44,5349
2023-12-31,10498.95,5185
2024-01-01,10290.02,4636
2024-01-02,10169.06,4319
2024-01-03,9865.45,5292
2024-01-04,10357.96,4827
2024-01-05,10252.39,4955
2024-01-06,10468.69,5258
2024-01-07,10460.0,5591
2024-01-08,10478.72,5176
2024-01-09,10208.53,5336
2024-01-10,9999.02,5044
2024-01-11,10051.52,4891
2024-01-12,10409.45,5017
2024-01-13,11381.01,5519
2024-01-14,11482.6,5404
2024-01-15,10291.93,4960
2024-01-16,10620.27,5561
2024-01-17,9269.55,5453
2024-01-18,10679.29,4912
2024-01-19,11110.51,5077
2024-01-20,11575.58,5889
2024-01-21,10903.55,5839
2024-01-22,10040.45,5343
2024-01-23,10945.84,5321
2024-01-24,10728.29,5849
2024-01-25,10583.18,5194
2024-01-26,10083.57,5326
2024-01-27,11846.51,5934
2024-01-28,11120.21,6032
2024-01-29,10525.49,5415
2024-01-30,11082.4,5046
2024-01-31,10001.93,5461
2024-02-01,10730.26,5368
2024-02-02,10815.49,5626
2024-02-03,11450.5,5620
2024-02-04,12312.25,6013
2024-02-05,9298.67,5121
2024-02-06,10882.16,5909
2024-02-07,10091.69,5709
2024-02-08,10587.52,5745
2024-02-09,11392.45,5833
2024-02-10,11997.04,6246
2024-02-11,12923.7,5478
2024-02-12,10678.45,5037
2024-02-13,11380.12,5759
2024-02-14,10196.8,5495
2024-02-15,10291.8,5686
2024-02-16,10795.8,5712
2024-02-17,12700.18,6036
2024-02-18,11450.43,6230
2024-02-19,12030.88,5900
2024-02-20,11681.81,5533
2024-02-21,12117.04,5880
2024-02-22,11622.83,5286
2024-02-23,11302.57,5935
2024-02-24,13272.71,6238
2024-02-25,11667.18,6026
2024-02-26,11456.09,5558
2024-02-27,11019.18,5382
2024-02-28,10464.38,5706
2024-02-29,11120.77,5837
2024-03-01,11966.93,5713
2024-03-02,12617.73,5644
2024-03-03,13416.42,6295
2024-03-04,11393.21,5971
2024-03-05,11806.56,5807
2024-03-06,11286.55,6048
2024-03-07,11485.66,4895
2024-03-08,10987.56,5638
2024-03-09,12401.28,6356
2024-03-10,12198.94,6177
2024-03-11,11213.61,5827
2024-03-12,11368.2,5400
2024-03-13,10708.88,5901
2024-03-14,11927.03,5013
2024-03-15,11224.89,6082
2024-03-16,12271.95,6228
2024-03-17,11577.14,6737
2024-03-18,11728.0,5837
2024-03-19,11685.26,5942
2024-03-20,11657.93,5518
2024-03-21,11123.49,5788
2024-03-22,11266.04,5682
2024-03-23,11496.52,6455
2024-03-24,12634.13,6386
2024-03-25,12066.78,6109
2024-03-26,11077.63,5993
2024-03-27,11687.95,5742
2024-03-28,10916.49,5470
2024-03-29,10876.15,5813
2024-03-30,12362.19,6517
2024-03-31,12691.28,6416
2024-04-01,11294.07,5848
2024-04-02,11876.22,5727
2024-04-03,11560.44,6282
2024-04-04,11622.91,5871
2024-04-05,11543.16,5767
2024-04-06,13782.7,5801
2024-04-07,12858.68,6395
2024-04-08,12092.24,5585
2024-04-09,12489.63,5751
2024-04-10,12145.08,5707
2024-04-11,11608.19,5943
2024-04-12,12711.93,5161
2024-04-13,12852.41,6216
2024-04-14,11917.54,7049
2024-04-15,11924.1,5502
2024-04-16,11718.05,5951
2024-04-17,11196.16,5690
2024-04-18,11937.22,5943
2024-04-19,11074.22,5812
2024-04-20,11980.85,6707
2024-04-21,12436.65,6272
2024-04-22,11419.28,5930
2024-04-23,11620.14,5517
2024-04-24,11190.21,5832
2024-04-25,11949.81,5790
2024-04-26,10888.29,5542
2024-04-27,12468.61,5702
2024-04-28,12523.22,6146
2024-04-29,10002.52,6125
2024-04-30,11128.19,5795
2024-05-01,11757.36,5357
2024-05-02,11310.63,5462
2024-05-03,10908.28,5525
2024-05-04,12087.96,5517
2024-05-05,12849.27,5950
2024-05-06,10739.08,5615
2024-05-07,11830.29,5194
2024-05-08,10932.92,5729
2024-05-09,10805.38,5372
2024-05-10,10829.28,5406
2024-05-11,12039.42,6553
2024-05-12,13706.06,5753
2024-05-13,10107.65,5357
2024-05-14,10778.99,5898
2024-05-15,9508.73,5440
2024-05-16,11660.23,5363
2024-05-17,11010.16,5649
2024-05-18,12323.09,6367
2024-05-19,12351.94,6078
2024-05-20,11374.11,5901
2024-05-21,11150.67,5513
2024-05-22,11261.75,5111
2024-05-23,11251.62,5378
2024-05-24,10133.54,5227
2024-05-25,11596.42,6404
2024-05-26,11885.55,5958
2024-05-27,10771.21,5096
2024-05-28,10481.68,5603
2024-05-29,10669.54,5372
2024-05-30,10431.74,5163
2024-05-31,9174.62,5402
2024-06-01,11337.37,5616
2024-06-02,11578.4,5840
2024-06-03,9942.53,5326
2024-06-04,10617.87,5209
2024-06-05,11153.58,4864
2024-06-06,10198.55,5492
2024-06-07,11613.73,5480
2024-06-08,11874.98,5789
2024-06-09,11793.11,5445
2024-06-10,10893.76,5097
2024-06-11,10732.29,5443
2024-06-12,10806.32,5739
2024-06-13,11100.48,5777
2024-06-14,10812.18,5521
2024-06-15,10656.88,5439
2024-06-16,11250.11,6203
2024-06-17,10325.61,5451
2024-06-18,10399.06,4592
2024-06-19,11056.33,5254
2024-06-20,10681.74,4749
2024-06-21,10882.86,5292
2024-06-22,12688.58,6084
2024-06-23,11373.21,5604
2024-06-24,9639.03,5071
2024-06-25,10859.92,5217
2024-06-26,9395.89,4991
2024-06-27,9341.97,5149
2024-06-28,9971.62,4942
2024-06-29,10451.93,5510
2024-06-30,10525.06,5557
2024-07-01,9850.03,5103
2024-07-02,9352.42,4734
2024-07-03,10140.56,5128
2024-07-04,10810.71,5168
2024-07-05,10717.55,5086
2024-07-06,10210.31,5413
2024-07-07,11476.4,5465
2024-07-08,10178.33,4880
2024-07-09,10242.29,5130
2024-07-10,10274.45,5261
2024-07-11,9832.75,5237
2024-07-12,9706.73,4717
2024-07-13,11103.91,5799
2024-07-14,10324.36,5179
2024-07-15,9428.19,5057
2024-07-16,9838.67,5017
2024-07-17,9769.92,4757
2024-07-18,10005.27,4496
2024-07-19,9457.52,5219
2024-07-20,10132.04,5116
2024-07-21,10046.26,5081
2024-07-22,9389.24,4453
2024-07-23,8535.53,5027
2024-07-24,9555.64,4626
2024-07-25,9421.63,4565
2024-07-26,8812.74,4720
2024-07-27,9660.04,4904
2024-07-28,9739.83,4989
2024-07-29,9808.0,4211
2024-07-30,9088.52,4370
2024-07-31,9060.2,4399
2024-08-01,9122.92,4470
2024-08-02,8634.41,4634
2024-08-03,10852.06,5045
2024-08-04,11383.05,5351
2024-08-05,9274.94,4313
2024-08-06,9053.16,4437
2024-08-07,9168.6,3791
2024-08-08,9784.9,4287
2024-08-09,9078.34,3982
2024-08-10,10069.15,4994
2024-08-11,9602.31,4933
2024-08-12,9904.11,4842
2024-08-13,8454.63,4408
2024-08-14,9016.5,4532
2024-08-15,9411.44,4169
2024-08-16,8232.3,4554
2024-08-17,9932.24,4947
2024-08-18,10664.17,4831
2024-08-19,9053.72,4409
2024-08-20,8777.16,4418
2024-08-21,8964.89,4223
2024-08-22,8700.29,4379
2024-08-23,8476.43,4546
2024-08-24,10119.59,4740
2024-08-25,9100.23,4994
2024-08-26,8944.24,4292
2024-08-27,8920.14,4040
2024-08-28,9265.27,4927
2024-08-29,8916.1,4900
2024-08-30,7997.57,4241
2024-08-31,9122.08,4201
2024-09-01,9789.61,4853
2024-09-02,8806.13,4120
2024-09-03,9036.4,4380
2024-09-04,8955.17,4050
2024-09-05,8542.46,4364
2024-09-06,8850.43,4496
2024-09-07,9437.96,5012
2024-09-08,9660.93,4883
2024-09-09,8390.36,4415
2024-09-10,8332.44,4187
2024-09-11,9276.98,4441
2024-09-12,9034.73,4400
2024-09-13,9377.46,4174
2024-09-14,9592.07,4735
2024-09-15,9398.73,4698
2024-09-16,8204.93,4155
2024-09-17,7886.17,4135
2024-09-18,8586.27,4374
2024-09-19,8692.1,4221
2024-09-20,8247.56,4053
2024-09-21,9727.22,4912
2024-09-22,9218.46,4529
2024-09-23,8445.71,4205
2024-09-24,8186.54,4056
2024-09-25,8515.48,4343
2024-09-26,8063.3,4162
2024-09-27,8515.75,4418
2024-09-28,9681.95,4379
2024-09-29,9541.28,4632
2024-09-30,8441.39,3652
2024-10-01,8706.81,4477
2024-10-02,8180.49,4347
2024-10-03,9577.17,4650
2024-10-04,8503.98,4030
2024-10-05,9703.55,4546
2024-10-06,9117.07,4542
2024-10-07,8752.26,4386
2024-10-08,8125.78,4213
2024-10-09,8756.88,4364
2024-10-10,8897.4,4239
2024-10-11,9030.05,4444
2024-10-12,8766.05,4714
2024-10-13,10098.42,4511
2024-10-14,8242.22,4488
2024-10-15,7984.47,4390
2024-10-16,9292.58,4342
2024-10-17,8473.04,4039
2024-10-18,7922.27,4015
2024-10-19,9692.12,4328
2024-10-20,9475.92,4476
2024-10-21,8698.03,4353
2024-10-22,8287.24,4035
2024-10-23,9037.82,3893
2024-10-24,8352.12,4019
2024-10-25,8718.85,4238
2024-10-26,9620.29,4920
2024-10-27,8806.38,4613
2024-10-28,9027.7,4197
2024-10-29,9140.11,4185
2024-10-30,8339.02,4258
2024-10-31,8007.49,4122
2024-11-01,9193.13,4404
2024-11-02,10264.96,4647
2024-11-03,9571.76,4237
2024-11-04,9257.92,4058
2024-11-05,8452.87,4305
2024-11-06,8991.82,4484
2024-11-07,9150.65,4325
2024-11-08,9272.03,4467
2024-11-09,10058.95,5237
2024-11-10,9313.71,4815
2024-11-11,9934.22,4574
2024-11-12,8557.26,4685
2024-11-13,8801.98,4250
2024-11-14,7852.41,4378
2024-11-15,8634.43,4500
2024-11-16,10056.45,5297
2024-11-17,9914.35,4826
2024-11-18,9191.06,4796
2024-11-19,8667.66,4303
2024-11-20,7757.86,3933
2024-11-21,9156.54,4569
2024-11-22,8597.06,4285
2024-11-23,9469.4,4798
2024-11-24,10629.74,4941
2024-11-25,9085.52,4645
2024-11-26,9433.09,4373
2024-11-27,9196.27,4486
2024-11-28,8878.92,5036
2024-11-29,9601.75,4580
2024-11-30,10422.43,4977
2024-12-01,10327.42,4591
2024-12-02,9586.09,4639
2024-12-03,9385.88,4673
2024-12-04,8922.93,4525
2024-12-05,9540.05,4385
2024-12-06,9506.65,4976
2024-12-07,10175.13,5838
2024-12-08,9858.22,5299
2024-12-09,8886.99,5064
2024-12-10,8169.9,4718
2024-12-11,9297.46,4449
2024-12-12,9692.66,4971
2024-12-13,9430.61,4708
2024-12-14,9906.49,4767
2024-12-15,11132.66,5471
2024-12-16,9030.54,4642
2024-12-17,9560.7,4468
2024-12-18,9179.88,4558
2024-12-19,9484.12,5031
2024-12-20,9524.89,5067
2024-12-21,10688.52,5529
2024-12-22,10934.27,5789
2024-12-23,9756.88,4785
2024-12-24,10543.68,4615
2024-12-25,10326.88,4833
2024-12-26,9702.62,4774
2024-12-27,9903.96,4778
2024-12-28,11262.73,5372
2024-12-29,12105.07,4994
2024-12-30,10401.23,4786
2024-12-31,10336.42,4791
2025-01-01,10009.64,4873
2025-01-02,9953.21,5236
2025-01-03,9569.2,5101
2025-01-04,10679.93,5592
2025-01-05,10440.5,5834
2025-01-06,9701.4,5134
2025-01-07,10852.31,5124
2025-01-08,9530.11,4900
2025-01-09,10173.71,4849
2025-01-10,8877.84,5134
2025-01-11,11247.96,5950
2025-01-12,11538.97,5280
2025-01-13,10354.44,4750
2025-01-14,11117.41,5215
2025-01-15,10236.11,5470
2025-01-16,10359.73,5159
2025-01-17,10589.58,5408
2025-01-18,12110.41,6107
2025-01-19,11302.53,5520
2025-01-20,10877.57,5297
2025-01-21,10951.07,4912
2025-01-22,11086.03,5390
2025-01-23,10781.93,5717
2025-01-24,10601.07,4958
2025-01-25,11813.78,6016
2025-01-26,11718.14,6050
2025-01-27,10717.67,5383
2025-01-28,11363.97,4989
2025-01-29,10316.65,5579
2025-01-30,10923.53,5465
2025-01-31,11137.55,5163
2025-02-01,12195.31,5366
2025-02-02,11834.01,5804
2025-02-03,9529.53,5460
2025-02-04,11050.39,5024
2025-02-05,10677.92,5550
2025-02-06,10758.58,5693
2025-02-07,11315.26,5487
2025-02-08,12434.78,5874
2025-02-09,12246.2,6615
2025-02-10,10376.11,5390
2025-02-11,10189.33,4798
2025-02-12,10990.78,5321
2025-02-13,11495.29,5666
2025-02-14,11321.81,5430
2025-02-15,12704.79,6367
2025-02-16,12152.88,5734
2025-02-17,11282.29,5414
2025-02-18,11263.3,5977
2025-02-19,10910.0,5652
2025-02-20,11890.92,5066
2025-02-21,10947.98,5442
2025-02-22,13698.31,5870
2025-02-23,12546.78,6491
2025-02-24,11369.85,5658
2025-02-25,11412.07,5552
2025-02-26,11434.51,5482
2025-02-27,11308.72,5443
2025-02-28,11329.25,5393
2025-03-01,12494.13,6279
2025-03-02,13251.27,6557
2025-03-03,11966.37,6108
2025-03-04,11064.47,5684
2025-03-05,11356.97,5670
2025-03-06,10570.32,5509
2025-03-07,11402.24,5769
2025-03-08,12839.18,6461
2025-03-09,12618.57,6168
2025-03-10,11327.9,5762
2025-03-11,11617.38,5733
2025-03-12,12025.2,5502
2025-03-13,11069.75,5879
2025-03-14,11254.52,5874
2025-03-15,12808.47,6609
2025-03-16,12396.36,6434
2025-03-17,11270.91,5525
2025-03-18,11664.81,6215
2025-03-19,11419.52,5393
2025-03-20,11657.6,5808
2025-03-21,12516.37,5610
2025-03-22,12096.95,6508
2025-03-23,11922.87,6435
2025-03-24,11208.3,6170
2025-03-25,11839.28,5756
2025-03-26,11445.33,5990
2025-03-27,11847.18,5187
2025-03-28,11177.58,5236
2025-03-29,12646.4,6275
2025-03-30,12508.47,5995
2025-03-31,11025.46,5522
2025-04-01,11217.27,6142
2025-04-02,11506.59,5571
2025-04-03,11309.14,5555
2025-04-04,11768.27,5942
2025-04-05,11801.08,5862
2025-04-06,13123.65,5177
2025-04-07,11352.15,5402
2025-04-08,12394.06,5492
2025-04-09,11831.7,5668
2025-04-10,12313.93,5687
2025-04-11,11762.21,5778
2025-04-12,12637.52,7033
2025-04-13,12899.4,5941
2025-04-14,10890.68,5394
2025-04-15,12299.63,6106
2025-04-16,11721.21,5833
2025-04-17,11581.74,5463
2025-04-18,11791.86,5777
2025-04-19,11502.82,6585
2025-04-20,13892.04,5925
2025-04-21,11154.63,5385
2025-04-22,12125.67,5565
2025-04-23,10736.05,5689
2025-04-24,11261.52,5612
2025-04-25,11499.05,5689
2025-04-26,13416.28,6121
2025-04-27,12701.93,5906
2025-04-28,11230.45,6025
2025-04-29,11026.31,5512
2025-04-30,11783.91,5702
2025-05-01,12041.98,5745
2025-05-02,11808.28,6176
2025-05-03,11504.97,6676
2025-05-04,11832.99,6286
2025-05-05,11351.27,5378
2025-05-06,10666.11,5574
2025-05-07,12111.4,5527
2025-05-08,10676.57,5698
2025-05-09,11205.43,5695
2025-05-10,12413.63,5581
2025-05-11,12462.15,6070
2025-05-12,11113.76,5301
2025-05-13,11709.57,5169
2025-05-14,9877.93,5285
2025-05-15,9507.31,5573
2025-05-16,10538.32,5873
2025-05-17,11060.63,6420
2025-05-18,12635.73,5962
2025-05-19,9676.8,5226
2025-05-20,10895.91,5409
2025-05-21,10552.15,5047
2025-05-22,11107.94,5416
2025-05-23,10083.95,5083
2025-05-24,11244.28,6092
2025-05-25,12074.84,6366
2025-05-26,10526.3,5684
2025-05-27,11244.79,5534
2025-05-28,10834.64,5497
2025-05-29,11216.01,5493
2025-05-30,11508.62,5072
2025-05-31,11098.22,5867
2025-06-01,11597.8,5898
2025-06-02,10831.54,5203
2025-06-03,9861.28,5421
2025-06-04,10792.54,5351
2025-06-05,11283.82,5283
2025-06-06,9498.46,5091
2025-06-07,11473.81,5888
2025-06-08,12474.21,5762
2025-06-09,10215.14,5322
2025-06-10,11925.28,5284
2025-06-11,10545.4,5293
2025-06-12,11205.68,5060
2025-06-13,10484.01,5151
2025-06-14,11363.69,5757
2025-06-15,11581.65,5614
2025-06-16,10546.7,5207
2025-06-17,9584.58,5143
2025-06-18,11607.64,5492
2025-06-19,10748.11,5175
2025-06-20,10400.01,5197
2025-06-21,11203.89,5778
2025-06-22,12070.07,5197
2025-06-23,9352.44,5471
2025-06-24,10293.64,4950
2025-06-25,10147.08,5191
2025-06-26,11132.36,5184
2025-06-27,9488.74,5543
2025-06-28,10927.64,5742
2025-06-29,11065.44,5342
2025-06-30,10228.28,5148
2025-07-01,9966.39,4493
2025-07-02,10055.58,5283
2025-07-03,9279.75,4798
2025-07-04,10040.83,4854
2025-07-05,10754.89,4965
2025-07-06,11139.91,5484
2025-07-07,10202.36,5209
2025-07-08,9329.52,5058
2025-07-09,9582.2,4895
2025-07-10,9044.25,4970
2025-07-11,9039.39,4691
2025-07-12,9871.91,5367
2025-07-13,10694.95,5125
2025-07-14,9889.75,4832
2025-07-15,9383.65,4332
2025-07-16,9631.52,4889
2025-07-17,9524.78,5155
2025-07-18,8657.93,4781
2025-07-19,10059.2,4960
2025-07-20,10710.46,5763
